condition,speaker_id,sentence_id,cer
no_se/white/snr_+10dB,p00,u47,0.3729
no_se/white/snr_+10dB,p00,u48,0.3778
no_se/white/snr_+10dB,p00,u49,0.4857
no_se/white/snr_+20dB,p00,u00,0.2264
no_se/white/snr_+20dB,p00,u01,0.4364
no_se/white/snr_+20dB,p00,u02,0.2667
no_se/white/snr_+20dB,p00,u03,0.3387
no_se/white/snr_+20dB,p00,u04,0.2857
no_se/white/snr_+20dB,p00,u05,0.2857
no_se/white/snr_+20dB,p00,u06,0.1897
no_se/white/snr_+20dB,p00,u07,0.3704
no_se/white/snr_+20dB,p00,u08,0.2857
no_se/white/snr_+20dB,p00,u09,0.5854
no_se/white/snr_+20dB,p00,u10,0.3833
no_se/white/snr_+20dB,p00,u11,0.3333
no_se/white/snr_+20dB,p00,u12,0.4062
no_se/white/snr_+20dB,p00,u13,0.2353
no_se/white/snr_+20dB,p00,u14,0.3529
no_se/white/snr_+20dB,p00,u15,0.5909
no_se/white/snr_+20dB,p00,u16,0.2791
no_se/white/snr_+20dB,p00,u17,0.4815
no_se/white/snr_+20dB,p00,u18,0.2344
no_se/white/snr_+20dB,p00,u19,0.2439
no_se/white/snr_+20dB,p00,u20,0.3881
no_se/white/snr_+20dB,p00,u21,0.2941
no_se/white/snr_+20dB,p00,u22,0.1636
no_se/white/snr_+20dB,p00,u23,0.2576
no_se/white/snr_+20dB,p00,u24,0.3265
no_se/white/snr_+20dB,p00,u25,0.4151
no_se/white/snr_+20dB,p00,u26,0.3636
no_se/white/snr_+20dB,p00,u27,0.2586
no_se/white/snr_+20dB,p00,u28,0.2909
no_se/white/snr_+20dB,p00,u29,0.3585
no_se/white/snr_+20dB,p00,u30,0.2182
no_se/white/snr_+20dB,p00,u31,0.2833
no_se/white/snr_+20dB,p00,u32,0.2222
no_se/white/snr_+20dB,p00,u33,0.5128
no_se/white/snr_+20dB,p00,u34,0.3529
no_se/white/snr_+20dB,p00,u35,0.3333
no_se/white/snr_+20dB,p00,u36,0.225
no_se/white/snr_+20dB,p00,u37,0.2712
no_se/white/snr_+20dB,p00,u38,0.2683
no_se/white/snr_+20dB,p00,u39,0.3191
no_se/white/snr_+20dB,p00,u40,0.5946
no_se/white/snr_+20dB,p00,u41,0.2889
no_se/white/snr_+20dB,p00,u42,0.4821
