speaker,utterance,no_se,taps_pretrained,enc_best,ce_best
p00,p00_u66,0.3235294117647059,0.25,0.22058823529411764,0.20588235294117646
p00,p00_u67,0.16666666666666666,0.19696969696969696,0.13636363636363635,0.16666666666666666
p00,p00_u68,0.26136363636363635,0.2159090909090909,0.17045454545454544,0.13636363636363635
p00,p00_u69,0.21951219512195122,0.12195121951219512,0.14634146341463414,0.0975609756097561
p00,p00_u70,0.23684210526315788,0.21052631578947367,0.2236842105263158,0.19736842105263158
p00,p00_u71,0.21739130434782608,0.15217391304347827,0.17391304347826086,0.15217391304347827
p00,p00_u72,0.208955223880597,0.19402985074626866,0.16417910447761194,0.1044776119402985
p00,p00_u73,0.23404255319148937,0.2127659574468085,0.2127659574468085,0.19148936170212766
p00,p00_u74,0.3728813559322034,0.2542372881355932,0.288135593220339,0.22033898305084745
p00,p00_u75,0.17073170731707318,0.3170731707317073,0.24390243902439024,0.14634146341463414
p00,p00_u76,0.24561403508771928,0.15789473684210525,0.19298245614035087,0.08771929824561403
p00,p00_u77,0.21951219512195122,0.17073170731707318,0.21951219512195122,0.12195121951219512
p00,p00_u78,0.1232876712328767,0.1232876712328767,0.1232876712328767,0.0821917808219178
p00,p00_u79,0.22535211267605634,0.2112676056338028,0.2112676056338028,0.18309859154929578
p00,p00_u80,0.4878048780487805,0.34146341463414637,0.4878048780487805,0.43902439024390244
p00,p00_u81,0.17073170731707318,0.12195121951219512,0.14634146341463414,0.10975609756097561
p00,p00_u82,0.36363636363636365,0.25,0.22727272727272727,0.25
p00,p00_u83,0.19696969696969696,0.22727272727272727,0.22727272727272727,0.21212121212121213
p00,p00_u84,0.2413793103448276,0.10344827586206896,0.10344827586206896,0.08620689655172414
p00,p00_u85,0.17142857142857143,0.17142857142857143,0.1,0.1
p00,p00_u86,0.3387096774193548,0.20967741935483872,0.16129032258064516,0.1774193548387097
p00,p00_u87,0.1875,0.10416666666666667,0.10416666666666667,0.08333333333333333
p00,p00_u88,0.391304347826087,0.1956521739130435,0.13043478260869565,0.15217391304347827
p00,p00_u89,0.39473684210526316,0.18421052631578946,0.21052631578947367,0.13157894736842105
p00,p00_u90,0.39759036144578314,0.20481927710843373,0.25301204819277107,0.1686746987951807
p00,p00_u91,0.4523809523809524,0.19047619047619047,0.14285714285714285,0.14285714285714285
p00,p00_u92,0.30612244897959184,0.20408163265306123,0.24489795918367346,0.2857142857142857
p00,p00_u93,0.14754098360655737,0.13114754098360656,0.11475409836065574,0.11475409836065574
p00,p00_u94,0.1875,0.140625,0.1875,0.09375
p00,p00_u95,0.22807017543859648,0.19298245614035087,0.21052631578947367,0.12280701754385964
p00,p00_u96,0.21818181818181817,0.16363636363636364,0.14545454545454545,0.10909090909090909
p00,p00_u97,0.42592592592592593,0.18518518518518517,0.12962962962962962,0.16666666666666666
p00,p00_u98,0.5230769230769231,0.2,0.18461538461538463,0.15384615384615385
p00,p00_u99,0.25,0.1590909090909091,0.125,0.10227272727272728
p02,p02_u00,0.4444444444444444,0.4222222222222222,0.26666666666666666,0.26666666666666666
p02,p02_u01,0.3684210526315789,0.19298245614035087,0.2807017543859649,0.2807017543859649
p02,p02_u02,0.3384615384615385,0.23076923076923078,0.23076923076923078,0.2
p02,p02_u03,0.23404255319148937,0.3617021276595745,0.2553191489361702,0.3191489361702128
p02,p02_u04,0.18032786885245902,0.03278688524590164,0.11475409836065574,0.06557377049180328
p02,p02_u05,0.2830188679245283,0.1320754716981132,0.09433962264150944,0.03773584905660377
p02,p02_u06,0.12195121951219512,0.12195121951219512,0.13414634146341464,0.04878048780487805
p02,p02_u07,0.1794871794871795,0.0641025641025641,0.02564102564102564,0.07692307692307693
p02,p02_u08,0.32142857142857145,0.10714285714285714,0.08928571428571429,0.125
p02,p02_u09,0.2988505747126437,0.27586206896551724,0.20689655172413793,0.1724137931034483
p02,p02_u10,0.16,0.16,0.14,0.1
p02,p02_u11,0.4186046511627907,0.36046511627906974,0.32558139534883723,0.2558139534883721
p02,p02_u12,0.15584415584415584,0.15584415584415584,0.16883116883116883,0.14285714285714285
p02,p02_u13,0.09195402298850575,0.04597701149425287,0.034482758620689655,0.011494252873563218
p02,p02_u14,0.3469387755102041,0.12244897959183673,0.14285714285714285,0.10204081632653061
p02,p02_u15,0.47761194029850745,0.2835820895522388,0.26865671641791045,0.31343283582089554
p02,p02_u16,0.6530612244897959,0.2653061224489796,0.4897959183673469,0.2857142857142857
p02,p02_u17,0.44,0.26,0.22,0.28
p02,p02_u18,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.0
p02,p02_u19,0.5245901639344263,0.14754098360655737,0.11475409836065574,0.01639344262295082
p02,p02_u20,0.21739130434782608,0.08695652173913043,0.15217391304347827,0.043478260869565216
p02,p02_u21,0.4,0.35,0.175,0.075
p02,p02_u22,0.1125,0.0625,0.0375,0.075
p02,p02_u23,0.3673469387755102,0.14285714285714285,0.24489795918367346,0.12244897959183673
p02,p02_u24,0.43859649122807015,0.24561403508771928,0.22807017543859648,0.10526315789473684
p02,p02_u25,0.3333333333333333,0.17777777777777778,0.2,0.1111111111111111
p02,p02_u26,0.3472222222222222,0.5138888888888888,0.2638888888888889,0.19444444444444445
p02,p02_u27,0.5272727272727272,0.4,0.509090909090909,0.3090909090909091
p02,p02_u28,0.5070422535211268,0.3380281690140845,0.29577464788732394,0.29577464788732394
p02,p02_u29,0.49019607843137253,0.4117647058823529,0.3137254901960784,0.3137254901960784
p02,p02_u30,0.3956043956043956,0.38461538461538464,0.3626373626373626,0.32967032967032966
p02,p02_u31,0.2786885245901639,0.14754098360655737,0.13114754098360656,0.14754098360655737
p02,p02_u32,0.27941176470588236,0.19117647058823528,0.17647058823529413,0.1323529411764706
p02,p02_u33,0.35,0.3333333333333333,0.38333333333333336,0.2833333333333333
p02,p02_u34,0.29545454545454547,0.18181818181818182,0.18181818181818182,0.13636363636363635
p02,p02_u35,0.25675675675675674,0.20270270270270271,0.21621621621621623,0.17567567567567569
p02,p02_u36,0.5517241379310345,0.2413793103448276,0.1896551724137931,0.15517241379310345
p02,p02_u37,0.36904761904761907,0.27380952380952384,0.21428571428571427,0.19047619047619047
p02,p02_u38,0.4,0.7777777777777778,0.3111111111111111,0.2222222222222222
p02,p02_u39,0.27058823529411763,0.23529411764705882,0.24705882352941178,0.17647058823529413
p02,p02_u40,0.35443037974683544,0.24050632911392406,0.27848101265822783,0.13924050632911392
p02,p02_u41,0.14084507042253522,0.18309859154929578,0.16901408450704225,0.16901408450704225
p02,p02_u42,0.3253012048192771,0.25301204819277107,0.24096385542168675,0.13253012048192772
p02,p02_u43,0.3684210526315789,0.19736842105263158,0.19736842105263158,0.19736842105263158
p02,p02_u44,0.5789473684210527,0.3157894736842105,0.2236842105263158,0.2631578947368421
p02,p02_u45,0.2647058823529412,0.25,0.14705882352941177,0.10294117647058823
p02,p02_u46,0.373134328358209,0.23880597014925373,0.26865671641791045,0.16417910447761194
p02,p02_u47,0.34523809523809523,0.19047619047619047,0.25,0.15476190476190477
p02,p02_u48,0.36470588235294116,0.27058823529411763,0.17647058823529413,0.10588235294117647
p02,p02_u49,0.175,0.15,0.15,0.025
p02,p02_u50,0.3424657534246575,0.1643835616438356,0.1917808219178082,0.1095890410958904
p02,p02_u51,0.41509433962264153,0.20754716981132076,0.33962264150943394,0.2641509433962264
